original_file,bitrate,frame_size,complexity,use_fec,packet_loss_perc,pesq_mos_score
1089-134686-0020.flac,8,40,5,False,1,3.062061309814453
1089-134686-0020.flac,8,40,9,True,5,3.3015081882476807
1089-134686-0020.flac,8,40,9,True,0,3.6691129207611084
1089-134686-0020.flac,8,40,9,False,3,3.2665371894836426
1089-134686-0020.flac,8,40,9,False,5,3.193772077560425
1089-134686-0020.flac,8,40,5,False,10,2.194113254547119
1089-134686-0020.flac,8,60,5,True,0,3.495898723602295
1089-134686-0020.flac,8,40,9,False,0,3.6534526348114014
1089-134686-0020.flac,8,40,9,False,10,2.340144157409668
1089-134686-0020.flac,8,60,5,True,2,3.225572347640991
1089-134686-0020.flac,8,60,5,False,2,3.2287867069244385
1089-134686-0020.flac,8,60,5,True,1,3.410184144973755
1089-134686-0020.flac,8,60,5,False,1,3.4211041927337646
1089-134686-0020.flac,8,60,5,False,5,2.902475357055664
1089-134686-0020.flac,8,60,5,False,0,3.51643443107605
1089-134686-0020.flac,8,60,5,False,10,1.989077091217041
1089-134686-0020.flac,8,60,9,True,1,3.5723071098327637
1089-134686-0020.flac,8,40,9,False,7,2.6717751026153564
1089-134686-0020.flac,8,60,5,True,10,1.9523351192474365
1089-134686-0020.flac,8,60,9,True,5,3.03456974029541
1089-134686-0020.flac,8,60,9,True,2,3.4178013801574707
1089-134686-0020.flac,8,60,9,True,7,2.7426276206970215
1089-134686-0020.flac,8,60,9,True,0,3.6497690677642822
1089-134686-0020.flac,8,60,9,True,3,3.269099712371826
1089-134686-0020.flac,8,60,9,True,10,2.0264439582824707
1089-134686-0020.flac,8,60,5,True,3,3.0897796154022217
1089-134686-0020.flac,8,60,5,True,7,2.5984561443328857
1089-134686-0020.flac,8,60,9,False,1,3.5879807472229004
1089-134686-0020.flac,8,60,5,False,3,3.0960118770599365
1089-134686-0020.flac,8,60,9,False,2,3.4238221645355225
1089-134686-0020.flac,8,60,5,True,5,2.8711705207824707
1089-134686-0020.flac,8,60,9,False,10,1.99602210521698
1089-134686-0020.flac,8,60,9,False,7,2.7230000495910645
1089-134686-0020.flac,12,20,5,True,0,3.996957778930664
1089-134686-0020.flac,8,60,5,False,7,2.606981039047241
1089-134686-0020.flac,8,60,9,False,5,3.050779104232788
1089-134686-0020.flac,12,20,5,True,7,2.7708981037139893
1089-134686-0020.flac,12,20,5,True,2,3.206932306289673
1089-134686-0020.flac,12,20,5,True,10,2.1329987049102783
1089-134686-0020.flac,12,20,5,False,2,3.09958815574646
1089-134686-0020.flac,12,20,5,True,1,3.4974262714385986
1089-134686-0020.flac,8,60,9,False,3,3.281717300415039
1089-134686-0020.flac,12,20,5,False,3,3.1582326889038086
1089-134686-0020.flac,12,20,5,True,3,3.251103162765503
1089-134686-0020.flac,12,20,5,False,0,4.011507511138916
1089-134686-0020.flac,12,20,5,False,5,2.957900285720825
1089-134686-0020.flac,12,20,9,True,2,3.369598865509033
1089-134686-0020.flac,8,60,9,False,0,3.6607234477996826
1089-134686-0020.flac,12,20,9,True,1,3.6384658813476562
1089-134686-0020.flac,12,20,9,True,3,3.364443302154541
1089-134686-0020.flac,12,20,9,True,10,2.2026312351226807
1089-134686-0020.flac,12,20,5,False,7,2.5078463554382324
1089-134686-0020.flac,12,20,5,True,5,3.063871383666992
1089-134686-0020.flac,12,20,9,False,1,3.5234320163726807
1089-134686-0020.flac,12,20,9,False,2,3.236483335494995
1089-134686-0020.flac,12,20,9,False,3,3.2601866722106934
1089-134686-0020.flac,12,20,9,False,5,3.0496468544006348
1089-134686-0020.flac,12,20,5,False,1,3.4176137447357178
1089-134686-0020.flac,12,20,9,False,10,2.0194852352142334
1089-134686-0020.flac,12,20,9,True,7,2.7662971019744873
1089-134686-0020.flac,12,40,5,True,1,3.589665412902832
1089-134686-0020.flac,12,20,5,False,10,1.9925833940505981
1089-134686-0020.flac,12,40,5,True,3,3.5472068786621094
1089-134686-0020.flac,12,20,9,True,0,4.1444478034973145
1089-134686-0020.flac,12,40,5,True,7,2.8607280254364014
1089-134686-0020.flac,12,40,5,True,10,2.4495980739593506
